"fprd__LoV_labels__c","fprd__LoV_values__c","fprd__Opportunity__c","fprd__Product_configuration__r.fprd__DeveloperName__c","fprd__Values_control_value__c","Unique_id__c"
"Pública,Privada","01,02",,"Ca_tcf_type_beneficiary_PC00029",,"LA_GA_PC0029_16"
"SI,NO","01,02",,"Ca_tcf_Legal_VB_text_PC00029",,"LA_GA_PC0029_17"
"Al vencimiento","01",,"Tipo_amortizacion_PC00007",,"LA_GA_PC0007_09"
"Días,Meses","01,02",,"gipr_Periodicidad_PC00007",,"LA_GA_PC0007_10"
"Bimestral,Trismestral,Semestral,Anual","01,02,03,04",,"Ca_Periodicity_commission_PC00029",,"LA_GA_PC0029_18"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00018",,"LA_GA_PC0018_06"
"Inversión inmueble,Inversión maquinaria/equipos,Construcción,Prórroga,Reestructuración,Subrrogación","08,09,10,06,11,07",,"Destino_PC00018",,"LA_GA_PC0018_07"
"Regular,Reprogramado,Refinanciado,Promotor,Sindicado","01,02,14,04,05",,"PE_Modality_PC00018",,"LA_GA_PC0018_08"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00018",,"LA_GA_PC0018_09"
"Dineraria,No dineraria,Sin garantía","01,02,03",,"gipr_Tipo_garantia_PC00018",,"LA_GA_PC0018_10"
"Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04",,"gipr_Type_PC00060",,"LA_GA_PC0060_01"
"Días,Meses","01,02",,"PeriodicidadIG_PC00001",,"LA_GA_PC0001_09"
"Dineraria,No dineraria,Sin garantia","01,02,03",,"Tipo_garantia_PC00001",,"LA_GA_PC0001_10"
"Días,Meses","01,02",,"Periodicidad_Gracia_PC00001",,"LA_GA_PC0001_11"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00001",,"LA_GA_PC0001_12"
"Campañas,Capital de trabajo,Pago de impuestos,Pago haberes,Pago proveedores,Prórroga,Subrrogación","01,02,03,04,05,06,07",,"Destino_PC00001",,"LA_GA_PC0001_13"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00001",,"LA_GA_PC0001_14"
"Días,Meses","01,02",,"Periodicidad_PC00001",,"LA_GA_PC0001_15"
"Regular,Crédito líquido,Crédito puntual,Compra de deuda,Reprogramado","01,03,09,10,02",,"Modalidad_PC00001",,"LA_GA_PC0001_16"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00018",,"LA_GA_PC0018_11"
"Días,Meses","01,02",,"PeriodicidadIG_PC00014",,"LA_GA_PC0014_02"
"15 días,30 dias,60 dias,90 dias,120 dias,150 dias,180 dias,210 dias,240 dias,270 dias,300 dias,330 dias,360 dias","01,02,03,04,05,06,07,08,09,10,11,12,13",,"Plazo_s_Operaci_n_PC00014",,"LA_GA_PC0014_03"
"(%),Monto","01,02",,"gipr_Opcioncompra_Tipo_PC00024",,"LA_GA_PC0024_11"
"Inversión inmueble,Inversión maquinaria/equipos,Construcción,Prórroga,Reestructuración,Subrrogación","08,09,10,06,11,07",,"Destino_PC00018_2",,"LA_GA_PC0018_12"
"Regular,Reprogramado,Refinanciado,Promotor,Sindicado","01,02,14,04,05",,"PE_Modality_PC00018_2",,"LA_GA_PC0018_13"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00018_2",,"LA_GA_PC0018_14"
"Dineraria,No dineraria,Sin garantía","01,02,03",,"gipr_Tipo_garantia_PC00018_2",,"LA_GA_PC0018_15"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00018_2",,"LA_GA_PC0018_16"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00024_2",,"LA_GA_PC0024_12"
"Meses,Años","02,03",,"Periodicidad_Gracia_PC00024_2",,"LA_GA_PC0024_13"
"Meses,Años","02,03",,"Periodicidad_PC00024_2",,"LA_GA_PC0024_14"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00024_2",,"LA_GA_PC0024_15"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00024_2",,"LA_GA_PC0024_16"
"Bimestral,Trismestral,Semestral,Anual","01,02,03,04",,"Ca_Periodicity_commission_PC00029_2",,"LA_GA_PC0029_19"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00018_2","Dineraria","DE_GA_PC0018_01_2"
"Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","04,05,06,07,09,10,11,12,13,14,15,16,17",,"gipr_Garantia_PC00018_2","No dineraria","DE_GA_PC0018_02_2"
"Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","04,05,06,07,09,10,11,12,13,14,15,16,17",,"gipr_Garantia_PC00024_2","No dineraria","DE_GA_PC0024_01_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00024_2","Dineraria","DE_GA_PC0024_02_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Ca_Garantia_PC00029_2","Dineraria","DE_CGA_PC0029_01_2"
"Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","04,05,06,07,09,10,11,12,13,14,15,16,17",,"Ca_Garantia_PC00029_2","No dineraria","DE_CGA_PC0029_02_2"
"Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","04,05,06,07,09,10,11,12,13,14,15,16,17",,"Garantia_PC00029_2","No dineraria","DE_GA_PC0029_01_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00029_2","Dineraria","DE_GA_PC0029_02_2"
"Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","04,05,06,07,09,10,11,12,13,14,15,16,17",,"Garantia_PC00001_2","No dineraria","DE_GA_PC0001_01_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00001_2","Dineraria","DE_GA_PC0001_02_2"
