ID,NAME,PARENTROLE.DeveloperName,ROLLUPDESCRIPTION,OPPORTUNITYACCESSFORACCOUNTOWNER,CASEACCESSFORACCOUNTOWNER,CONTACTACCESSFORACCOUNTOWNER,FORECASTUSERID,MAYFORECASTMANAGERSHARE,DEVELOPERNAME,PORTALACCOUNTID,PORTALTYPE,PORTALACCOUNTOWNERID
00E29000000ZQF4EAO,EJECUTIVO BANCA EMPRESAS CHICLAYO,GERENTE_BANCA_EMPRESAS_CHICLAYO,EJECUTIVO BANCA EMPRESAS CHICLAYO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_CHICLAYO,,None,
00E29000000ZQF9EAO,EJECUTIVO BANCA EMPRESAS CHINCHA,GERENTE_BANCA_EMPRESAS_CHINCHA,EJECUTIVO BANCA EMPRESAS CHINCHA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_CHINCHA,,None,
00E29000000ZQFEEA4,EJECUTIVO BANCA EMPRESAS COLONIAL,GERENTE_BANCA_EMPRESAS_COLONIAL,EJECUTIVO BANCA EMPRESAS COLONIAL,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_COLONIAL,,None,
00E29000000ZQF5EAO,EJECUTIVO BANCA EMPRESAS CUSCO,GERENTE_BANCA_EMPRESAS_CUSCO,EJECUTIVO BANCA EMPRESAS CUSCO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_CUSCO,,None,
00E29000000ZQFJEA4,EJECUTIVO BANCA EMPRESAS DOS DE MAYO,GERENTE_BANCA_EMPRESAS_DOS_DE_MAYO,EJECUTIVO BANCA EMPRESAS DOS DE MAYO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_DOS_DE_MAYO,,None,
00E29000000ZQFOEA4,EJECUTIVO BANCA EMPRESAS HUANCAYO,GERENTE_BANCA_EMPRESAS_HUANCAYO,EJECUTIVO BANCA EMPRESAS HUANCAYO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_HUANCAYO,,None,
00E29000000ZQFTEA4,EJECUTIVO BANCA EMPRESAS IQUITOS,GERENTE_BANCA_EMPRESAS_IQUITOS,EJECUTIVO BANCA EMPRESAS IQUITOS,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_IQUITOS,,None,
00E29000000ZQFYEA4,EJECUTIVO BANCA EMPRESAS LA MOLINA,GERENTE_BANCA_EMPRESAS_LA_MOLINA,EJECUTIVO BANCA EMPRESAS LA MOLINA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_LA_MOLINA,,None,
00E29000000ZQFiEAO,EJECUTIVO BANCA EMPRESAS LIMA,GERENTE_BANCA_EMPRESAS_LIMA,EJECUTIVO BANCA EMPRESAS LIMA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_LIMA,,None,
00E29000000ZQFdEAO,EJECUTIVO BANCA EMPRESAS LIMA NORTE,GERENTE_BANCA_EMPRESAS_LIMA_NORTE,EJECUTIVO BANCA EMPRESAS LIMA NORTE,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_LIMA_NORTE,,None,
00E29000000ZQFxEAO,EJECUTIVO BANCA EMPRESAS MIRAFLORES,GERENTE_BANCA_EMPRESAS_MIRAFLORES,EJECUTIVO BANCA EMPRESAS MIRAFLORES,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_MIRAFLORES,,None,
00E29000000ZQFnEAO,EJECUTIVO BANCA EMPRESAS PIURA,GERENTE_BANCA_EMPRESAS_PIURA,EJECUTIVO BANCA EMPRESAS PIURA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_PIURA,,None,
00E29000000ZQFsEAO,EJECUTIVO BANCA EMPRESAS REP DE PANAMA,GERENTE_BANCA_EMPRESAS_REP_DE_PANAMA,EJECUTIVO BANCA EMPRESAS REP DE PANAMA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_REP_DE_PANAMA,,None,
00E29000000ZQG2EAO,EJECUTIVO BANCA EMPRESAS SANTA CRUZ,GERENTE_BANCA_EMPRESAS_SANTA_CRUZ,EJECUTIVO BANCA EMPRESAS SANTA CRUZ,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_SANTA_CRUZ,,None,
00E29000000ZQG7EAO,EJECUTIVO BANCA EMPRESAS SAN ISIDRO,GERENTE_BANCA_EMPRESAS_SAN_ISIDRO,EJECUTIVO BANCA EMPRESAS SAN ISIDRO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_SAN_ISIDRO,,None,
00E29000000ZQFeEAO,EJECUTIVO BANCA EMPRESAS TRUJILLO,GERENTE_BANCA_EMPRESAS_TRUJILLO,EJECUTIVO BANCA EMPRESAS TRUJILLO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_TRUJILLO,,None,
