ID,NAME,FPRD__DEFAULT_VALUE__C,FPRD__DEVELOPERNAME__C,FPRD__HEADER__C,FPRD__HEADER_ORDER__C,FPRD__HIDDEN__C,FPRD__IMPORTANT__C,FPRD__LABEL__C,FPRD__LOV_LABELS__C,FPRD__LOV_VALUES__C,FPRD__LOWER_LIMIT__C,FPRD__MANDATORY__C,FPRD__MAP_FIELD__C,FPRD__ORDER__C,FPRD__PRODUCT__C,FPRD__READ_ONLY__C,FPRD__RELATED_MAP_FIELDS__C,FPRD__SECTION_NAME__C,FPRD__SECTION_ORDER__C,FPRD__TYPE__C,FPRD__UPPER_LIMIT__C,FPRD__VALUES_CONTROL_FIELD__C,FPRD__VISIBILITY_CONDITION__C,FPRD__VISIBILITY_CONTROL_FIELD__C,FPRD__VISIBILITY_CONTROL_VALUE__C,FPRD__PRODUCT__R.UNIQUE_ID__C,FPRD__PRODUCT__R.NAME
a0i3B000000pykNQAQ,PC-000015,,da_Destination_Country_PC00007,false,,false,false,País de destino,"Afganistan,Albania,Alemania,Andorra,Argentina,Australia,Austria,Bangladesh,Bélgica,Bolivia,Bosnia y Hercegovina,Brasil,Canada,Chile,China,Chipre,Colombia,Corea del Sur,Costa Rica,Cuba,Dinamarca,Dominica,Ecuador,Egipto,Emiratos Arabes,España,Estados Unidos de América,Estonia,Filipinas,Francia,Grecia,Guatemala,Holanda,Honduras,Hong Kong,India,Indonesia,Israel,Italia,Japón,Macao,Malasya,Mexico,Pakistan,Panamá,Paraguay,Perú,Polonia,Portugal,Puerto Rico,Reino Unido,República Dominicana,Rumania,Rusia,Singapur,Sudáfrica,Suecia,Suiza,Taiwán,Thailandia,Turquía,Uruguay,Venezuela","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63",,false,da_Destination_Country__c,8,01t3B00000215lGQAQ,false,,Datos adicionales,2,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pykOQAQ,PC-000016,,da_Available_Balance_PC00007,false,,false,false,Saldo Disponible,,,,false,da_Available_Balance__c,12,01t3B00000215lGQAQ,true,,Datos adicionales,2,number,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pzquQAA,PC-000743,,Importe_PC00007,false,,false,false,Importe,,,,false,UnitPrice,1,01t3B00000215lGQAQ,false,,Información general del producto,1,currency,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pzqvQAA,PC-000744,false,Mejorado_PC00007,false,,false,false,Mejorado,,,,false,PE_List_Mejorado__c,3,01t3B00000215lGQAQ,false,,Información general del producto,1,checkbox,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pzqwQAA,PC-000745,02,Destino_PC00007,false,,false,false,Destino,"Campañas,Capital de trabajo,Pago proveedores,Prórroga,Subrrogación","01,02,05,06,07",,false,gipr_Destino__c,4,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pzqtQAA,PC-000742,11,ModalidadP_PC00007,false,,false,false,Modalidad producto,"Pre embarque,Post embarque,Sepymex","11,12,13",,false,PE_List_Product_mode__c,2,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pypqQAA,PC-000354,02,gipr_Comex_Bag_PC00005,false,,false,false,Bolsa Comex,"Si,No","01,02",,false,gipr_Comex_Bag__c,9,01t3B00000215lEQAQ,false,,Información general del producto,1,LIST,,,,,,161720,Financiamiento de Importación
a0i3B000000pykxQAA,PC-000051,,Tipo_amortizacion_PC00005,false,,false,false,Tipo amortización,"Al vencimiento,En cuotas,Manual","01,02,04",,false,cpliq_Tipo_amortizacion__c,2,01t3B00000215lEQAQ,false,,Criterios de pago y liquidación,3,LIST,,,,,,161720,Financiamiento de Importación
a0i3B000000pym0QAA,PC-000116,,da_Importer_PC00005,false,,false,false,Importador,,,,false,da_Importer__c,6,01t3B00000215lEQAQ,false,,Datos adicionales,2,text,,,,,,161720,Financiamiento de Importación
a0i3B000000pysIQAQ,PC-000506,,da_nOperation_PC00005,false,,false,false,N° Operación,,,,false,da_nOperation__c,2,01t3B00000215lEQAQ,false,,Datos adicionales,2,text,,,,da_Replacement_financing_PC00005,Si,161720,Financiamiento de Importación
